Parcela,Mod / Subp,CENSO,Estación /año,Fecha,#Ind,Clave sp,Género,Epiteto específico,Familia,Nombre común,Altura,Largo,DAP mayor,# Tallos,Estatus,Observaciones,# CenOrig,Fenología,Daño,Origen,FormaVida,DAP1,DAP2,DAP3,DAP4,DAP5,DAP6,DAP7,DAP8,DAP9,DAP10,DAP11,,
3 B,3,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,63,caegau,Caesalpinia,gaumeri,FABACEAE,Kitinché,7,7.5,6.8,11,arbol,rebrote,C9,,,rebrote,,6.8,4.9,3.7,3.6,4.6,2.8,4.6,2.5,6.2,3.5,4.2,,
3 B,3,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,64,mimbah,Mimosa,bahamensis,FABACEAE,Sak katsim,7,7.5,7.2,1,arbol,semilla,C9,,,semilla,,7.2,,,,,,,,,,,,
3 B,3,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,65,luslat,Lysiloma,latisiliquum,FABACEAE,Tsalam,6.5,7,5.6,1,arbol,semilla,C9,,,semilla,,5.6,,,,,,,,,,,,
3 B,3,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,109,cocvit,Cochlospermum,vitifolium,BIXACEAE,Chu'um,6.5,7,6.6,1,arbol,semilla,C13,,,semilla,,6.6,,,,,,,,,,,,
3 B,3,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,113,pispis,Piscidia,piscipula,FABACEAE,Ja'abin,6.5,7,5.5,3,arbol,rebrote,C14,,,rebrote,,5.5,3.5,2.8,,,,,,,,,,
3 B,3,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,131,bursim,Bursera,simaruba,BURSERACEAE,Chakaj,7,7.2,5.7,2,recluta,rebrote,C15,,,rebrote,,3.6,5.7,,,,,,,,,,,
3 B,3,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,132,bursim,Bursera,simaruba,BURSERACEAE,Chakaj,7,7.5,5,1,recluta,semilla,C15,,,semilla,,5,,,,,,,,,,,,
3 B,4,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,11,cocvit,Cochlospermum,vitifolium,BIXACEAE,Chu'um,6,6.5,8.4,1,arbol,semilla,C0,,,semilla,,8.4,,,,,,,,,,,,
3 B,4,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,45,pispis,Piscidia,piscipula,FABACEAE,Ja'abin,7,8,7.2,1,arbol,rebrote,C0,,,rebrote,,7.2,,,,,,,,,,,,
3 B,4,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,58,cocvit,Cochlospermum,vitifolium,BIXACEAE,Chu'um,7,8,6.1,1,arbol,semilla,C0,,,semilla,,6.1,,,,,,,,,,,,
3 B,4,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,66,bursim,Bursera,simaruba,BURSERACEAE,Chakaj,7,8,6.5,1,arbol,semilla,C9,,,semilla,,6.5,,,,,,,,,,,,
3 B,4,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,67,pispis,Piscidia,piscipula,FABACEAE,Ja'abin,7,7.5,6.9,4,arbol,rebrote,C9,,,rebrote,,6.6,6.9,5.5,2.7,,,,,,,,,
3 B,4,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,92,mimbah,Mimosa,bahamensis,FABACEAE,Sak katsim,7,7.5,6.4,3,arbol,semilla,C11,,,semilla,,6.4,6.3,4.4,,,,,,,,,,
3 B,4,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,101,casgau,Cascabela,gaumeri,APOCYNACEAE,Ak' its,7,8,5.8,1,arbol,semilla,C12,,,semilla,,5.8,,,,,,,,,,,,
3 B,4,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,102,mimbah,Mimosa,bahamensis,FABACEAE,Sak katsim,6.5,7,6.2,1,arbol,semilla,C12,,,semilla,,6.2,,,,,,,,,,,,
3 B,4,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,110,cocspi,Coccoloba,spicata,POLYGONACEAE,Boob,7,8,5.3,1,arbol,rebrote,C13,,,rebrote,,5.3,,,,,,,,,,,,
3 b,4,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,114,boupul,Bourreria,pulchra,BORAGINACEAE,Baka ché,6,6.5,5.5,5,arbol,rebrote,C14,,,rebrote,,3.6,2.7,5,5,5.5,,,,,,,,
3 B,4,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,115,neoema,Neomillspaughia,emarginata,POLYGONACEAE,Sak its'a,6,6.5,5.5,3,arbol,rebrote,C14,,,rebrote,,2.8,3.6,5.5,,,,,,,,,,
3 B,5,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,12,pispis,Piscidia,piscipula,FABACEAE,Ja'abin,8,8.5,10,4,arbol,rebrote,C0,,,rebrote,,10,7.5,4.8,3.5,,,,,,,,,
3 B,5,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,13,pispis,Piscidia,piscipula,FABACEAE,Ja'abin,7,8,9.3,4,arbol,rebrote,C0,,,rebrote,,9.3,8.5,7.4,6.5,,,,,,,,,
3 B,5,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,14,cocspi,Coccoloba,spicata,POLYGONACEAE,Boob,8,8.5,8,1,arbol,semilla,C0,,,semilla,,8,,,,,,,,,,,,
3 B,5,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,15,cocspi,Coccoloba,spicata,POLYGONACEAE,Boob,8.5,9,10.2,3,arbol,rebrote,C0,,,rebrote,,10.2,5,3,,,,,,,,,,
3 B,5,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,16,heldon,Heliocarpus,donellsmithii,MALVACEAE,Joolol,8,8.5,10.9,1,arbol,semilla,C0,,,semilla,,10.9,,,,,,,,,,,,
3 B,5,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,17,cocspi,Coccoloba,spicata,POLYGONACEAE,Boob,9,10,12.4,1,arbol,rebrote,C0,,,rebrote,,12.4,,,,,,,,,,,,
3 B,5,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,18,cocspi,Coccoloba,spicata,POLYGONACEAE,Boob,7,7.5,6.8,10,arbol,rebrote,C0,,,rebrote,,6.8,5.5,2.5,2.6,4,3.7,3.3,2.9,3.9,2.5,,,
3 B,5,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,19,cocvit,Cochlospermum,vitifolium,BIXACEAE,Chu'um,7,7.5,8.3,1,arbol,semilla,C0,,,semilla,,8.3,,,,,,,,,,,,
3 B,5,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,59,heldon,Heliocarpus,donellsmithii,MALVACEAE,Joolol,7,8,7.5,1,arbol,semilla,C0,,,semilla,,7.5,,,,,,,,,,,,
3 B,5,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,68,heldon,Heliocarpus,donellsmithii,MALVACEAE,Joolol,7,8,6.2,1,arbol,semilla,C9,,,semilla,,6.2,,,,,,,,,,,,
3 B,5,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,69,heldon,Heliocarpus,donellsmithii,MALVACEAE,Joolol,6,8,8.7,1,arbol,semilla,C9,,,semilla,,8.7,,,,,,,,,,,,
